family,cell,n,wins_up,wr_up,p,wilson_lo,wilson_hi,p_side,q_bh
F1_hist5,31,2726,1276,0.46808510638297873,0.0009181266722062574,0.44941147411891647,0.4868485638261424,0.0004590633361031287,0.0026610652010048675
F1_hist6,0,1412,736,0.5212464589235127,0.1163540857434734,0.4951676085206572,0.5472100133828098,0.0581770428717367,0.13713160105480796
F1_hist6,1,1465,729,0.4976109215017065,0.8754416616517509,0.47204699790625354,0.5231873418619011,0.43772083082587543,0.46408955557442216
F1_hist6,2,1514,812,0.5363276089828269,0.005072659133350917,0.5111476411010807,0.5613236892406361,0.0025363295666754587,0.011159850093372019
F1_hist6,3,1575,812,0.5155555555555555,0.2264647089641293,0.49086599738355674,0.5401694149085947,0.11323235448206465,0.21200951477492955
F1_hist6,4,1558,842,0.540436456996149,0.0015329413446732044,0.5156205410948178,0.5650534529901139,0.0007664706723366022,0.00430528207440134
F1_hist6,5,1665,867,0.5207207207207207,0.09558705633453246,0.49670423148786436,0.5446418135771677,0.04779352816726623,0.12471425459126471
F1_hist6,6,1671,865,0.5176540993417116,0.15591872490474573,0.49368215955494515,0.5415450523796044,0.07795936245237287,0.16597799747924546
F1_hist6,7,1656,887,0.5356280193236715,0.00402531197733212,0.5115522617741208,0.5595388592099539,0.00201265598866606,0.009660748745597086
F1_hist6,8,1579,829,0.5250158328055732,0.049620616453564755,0.5003534575155403,0.5495567798701843,0.024810308226782377,0.07180676104511577
F1_hist6,9,1661,853,0.5135460565924143,0.2803108440572694,0.48950544146970687,0.5375241570218254,0.1401554220286347,0.25000696902405106
F1_hist6,10,1611,833,0.5170701427684667,0.17848334249075967,0.4926565632211108,0.5414025048633379,0.08924167124537984,0.1840609469435959
F1_hist6,11,1836,949,0.5168845315904139,0.15453784841162393,0.49401492882165216,0.5396836243581433,0.07726892420581197,0.16597799747924546
F1_hist6,12,1659,858,0.5171790235081374,0.16914955517917826,0.4931208985994776,0.5411577723214326,0.08457477758958913,0.17720429590199627
F1_hist6,13,1729,859,0.496818970503181,0.8099565346240397,0.4732843198230486,0.5203677254648761,0.40497826731201986,0.456898557993048
F1_hist6,14,1673,833,0.497907949790795,0.883381621583684,0.47398089312405633,0.5218445921215389,0.441690810791842,0.4664254961961852
F1_hist6,15,1544,728,0.47150259067357514,0.026790384257836405,0.44670433458232245,0.49644230264463945,0.013395192128918203,0.04592637301343384
F1_hist6,16,1525,776,0.5088524590163934,0.5055571729426517,0.4837704541075242,0.5338899758546117,0.25277858647132584,0.33703811529510114
F1_hist6,17,1691,861,0.5091661738616203,0.4656813596775928,0.48534475423758694,0.5329460406071939,0.2328406798387964,0.3256855675613936
F1_hist6,18,1681,846,0.5032718619869125,0.8073151956902851,0.47938973828994097,0.5271390653673286,0.40365759784514255,0.456898557993048
F1_hist6,19,1661,835,0.5027092113184829,0.8443881306915223,0.47868515811558227,0.5267207615827243,0.42219406534576115,0.4586799722274936
F1_hist6,20,1602,833,0.5199750312109863,0.11545565696161697,0.4954913248481545,0.544363166404283,0.057727828480808485,0.13713160105480796
F1_hist6,21,1697,855,0.5038302887448438,0.7708319897721946,0.48005972312310574,0.5275835518297175,0.3854159948860973,0.4444734271341628
F1_hist6,22,1746,835,0.4782359679266896,0.07264003173531068,0.4548783633676496,0.5016891339418212,0.03632001586765534,0.09988004363605218
F1_hist6,23,1791,866,0.4835287548855388,0.1705122692585146,0.46044454637615406,0.5066834720517674,0.0852561346292573,0.17722535072538526
F1_hist6,24,1658,846,0.5102533172496985,0.4176945206044911,0.48619483580178324,0.5342643944882758,0.20884726030224554,0.31150099841690865
F1_hist6,25,1704,857,0.5029342723004695,0.827416997385244,0.4792142177721833,0.526641126189458,0.413708498692622,0.4586799722274936
F1_hist6,26,1706,837,0.4906213364595545,0.4529409290848939,0.46694657976727644,0.5143382363232899,0.22647046454244696,0.3240485788063355
